mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_EL__alpha,param_EL__l1_ratio,param_IMP__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.020318222045898438,0.0017946644011876656,0.0027960777282714845,0.00040062198545524257,0.0001,0.0001,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.0001, 'IMP__strategy': 'mean'}",-23.84265650125168,0.02302208263494121,-0.6827686467559948,-255.01407283754634,-16.932227016307817,-59.28974058384538,98.29694800603397,387
0.01870903968811035,0.000608352737216973,0.002603578567504883,0.0004907093501110721,0.0001,0.0001,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.0001, 'IMP__strategy': 'median'}",-23.456526825207984,-0.33432150893911894,-1.0814690353825367,-232.77118417257836,-17.451788333777728,-55.019057975177134,89.33419881727198,381
0.01822938919067383,0.0006454371954384781,0.002204704284667969,0.0003994386463185761,0.0001,0.11120000000000001,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.11120000000000001, 'IMP__strategy': 'mean'}",-23.841288209464366,0.0218458309661409,-0.7043197065237528,-258.3610204418803,-16.92352049364884,-59.96166060411023,99.62803047800574,389
0.016802167892456053,0.0007535954965125647,0.0018015861511230468,0.00040095023637269937,0.0001,0.11120000000000001,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.11120000000000001, 'IMP__strategy': 'median'}",-23.458922993539222,-0.3430416401993899,-1.114399061674693,-236.28374948909567,-17.456321095640423,-55.731286856029875,90.72654779779374,382
0.016207551956176756,0.0014644503344540226,0.0031996250152587892,0.00039969506042622787,0.0001,0.2223,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.2223, 'IMP__strategy': 'mean'}",-23.835622339925063,0.020338589494094728,-0.7285603076653728,-261.3654124222467,-16.91596666147647,-60.56504462836391,100.8226895997884,391
0.016510820388793944,0.0004438994533441549,0.0018012046813964844,0.0004011197822286163,0.0001,0.2223,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.2223, 'IMP__strategy': 'median'}",-23.4574981979526,-0.35304096913346794,-1.1512025991249608,-240.13521824692123,-17.46154849220045,-56.51170170106654,92.25364025288908,383
0.017121553421020508,0.001999740564337872,0.0019993305206298826,1.0598235497900422e-06,0.0001,0.33340000000000003,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.33340000000000003, 'IMP__strategy': 'mean'}",-23.824820021844292,0.01839804146065216,-0.7560351956857558,-264.348070704822,-16.90975555625554,-61.1640566874294,102.0086536944752,393
0.01903109550476074,0.0008528613809047396,0.002593517303466797,0.0004902837017216663,0.0001,0.33340000000000003,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.33340000000000003, 'IMP__strategy': 'median'}",-23.452561348301213,-0.3645881285094954,-1.1927087393390132,-244.372896716385,-17.468056314507713,-57.37016224940847,93.93417500652538,384
0.020713281631469727,0.004435952156497731,0.002799510955810547,0.0011685550839002094,0.0001,0.4445,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.4445, 'IMP__strategy': 'mean'}",-23.807676453464207,0.015894273370859024,-0.7874061240124517,-267.5093111135689,-16.90462808525398,-61.79862550058574,103.26574759666792,394
0.019508838653564453,0.0007708987418613484,0.0023990631103515624,0.0004853393875214431,0.0001,0.4445,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.4445, 'IMP__strategy': 'median'}",-23.445753549057752,-0.37804405721484313,-1.236394405041589,-249.08067336146505,-17.47580460125236,-58.32333399480632,95.80177878852825,385
0.016506052017211913,0.0004489105317782886,0.0022023677825927734,0.00040216720128724597,0.0001,0.5556,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.5556, 'IMP__strategy': 'mean'}",-23.7825077971908,0.012647689806029039,-0.8235419796909704,-271.025808717718,-16.90086331994695,-62.504014824948136,104.66437300662125,396
0.018915653228759766,0.0011363242083732457,0.002400970458984375,0.0004909746245015005,0.0001,0.5556,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.5556, 'IMP__strategy': 'median'}",-23.428437232564107,-0.39389057501649205,-1.2846651510475757,-253.4290750033903,-17.485061930533814,-59.20422597851045,97.52642592109235,386
0.018117427825927734,0.0012098823333900805,0.0023972034454345704,0.0004889039450002798,0.0001,0.6667000000000001,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.6667000000000001, 'IMP__strategy': 'mean'}",-23.74696211439686,0.00814369352384714,-0.865593596356957,-275.0701421153185,-16.89869751411296,-63.31465032933228,106.27331918938387,397
0.019806909561157226,0.0014791626179447416,0.0023125171661376952,0.00041052180704939016,0.0001,0.6667000000000001,median,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.6667000000000001, 'IMP__strategy': 'median'}",-23.39721766979819,-0.41278682178945036,-1.3387774777677088,-255.43490709522052,-17.496262419715407,-59.615990296858264,98.31802680974751,388
0.01770949363708496,0.0007464807355232524,0.00240178108215332,0.0004882856365096232,0.0001,0.7778,mean,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.7778, 'IMP__strategy': 'mean'}",-23.697727107044724,0.0024968508677027934,-0.9117776881185196,-279.88900590882406,-16.898293265999133,-64.27886142382376,108.19146124259952,398
