mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_EL__alpha,param_EL__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013011884689331055,0.005024909394858402,0.006446027755737304,0.0005572876387414522,0.0001,0.0001,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.0001}",0.4407938444339018,0.5024686559508704,0.4625588647430199,0.5186863354364317,0.6167844891414906,0.5082584379411429,0.06092633056141739,14
0.00970616340637207,0.0007458862447238031,0.0062062740325927734,0.00040371003408166847,0.0001,0.11120000000000001,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.11120000000000001}",0.4407978808951255,0.5024181315297405,0.46255502371744384,0.5186949055171104,0.6167788060066002,0.5082489495332041,0.06092524550302308,16
0.01060333251953125,0.0008071358306312473,0.0075042724609375,0.0025377533990884825,0.0001,0.2223,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.2223}",0.44080192028318177,0.5023675506097673,0.4625511784405415,0.5187034745753901,0.6167731150528629,0.5082394477923488,0.06092416603445296,18
0.009599065780639649,0.0004903543642869185,0.005821847915649414,0.00041210714778238983,0.0001,0.33340000000000003,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.33340000000000003}",0.44080596260023486,0.5023169131025362,0.46254732890782,0.5187120426105813,0.6167674162730635,0.5082299326988472,0.06092309217785626,19
0.00890974998474121,0.0005006062454745554,0.005802726745605469,0.0003998897137429774,0.0001,0.4445,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.4445}",0.44081000784912594,0.5022662189197413,0.4625434751150217,0.5187206096208513,0.616761709659663,0.5082204042328806,0.060922023955111135,21
0.011402511596679687,0.0029363538530366956,0.00771784782409668,0.004671467265590081,0.0001,0.5556,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.5556}",0.44081405603332613,0.5022154679726634,0.4625396170578848,0.5187291756047,0.6167559952051136,0.5082108623747376,0.060920961388044204,23
0.008400392532348634,0.0013561780465778538,0.005404186248779297,0.0004872271915893576,0.0001,0.6667000000000001,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.6667000000000001}",0.44081810715363023,0.5021646601724856,0.46253575473214026,0.5187377405606256,0.6167502729018568,0.5082013071041477,0.06091990449914465,24
0.00919952392578125,0.0009803679503847126,0.007307291030883789,0.005359101430762121,0.0001,0.7778,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.7778}",0.44082216121351303,0.5021137954302095,0.4625318881327134,0.518746304487124,0.6167445427423255,0.508191738401177,0.06091885331050109,26
0.011403369903564452,0.0043242832001774015,0.005718755722045899,0.0003930023878232092,0.0001,0.8889,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 0.8889}",0.44082621821556,0.5020628736566581,0.4625280172569294,0.5187548673826896,0.6167388047189424,0.5081821562461559,0.06091780784411063,28
0.008510255813598632,0.0004440548845584672,0.004599952697753906,0.0004896102686812047,0.0001,1.0,"{'EL__alpha': 0.0001, 'EL__l1_ratio': 1.0}",0.44083027816235865,0.5020118947621962,0.4625241420997027,0.5187634292458152,0.6167330588241208,0.5081725606188388,0.0609167681224089,29
0.008321285247802734,0.00040777325590981856,0.004999923706054688,3.3460244737336796e-06,0.5264105263157894,0.0001,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.0001}",0.3738202533740427,0.4813830633525197,0.3905748817113933,0.28459754467396525,0.4104982195125124,0.3881747925248867,0.06344474231621836,50
0.009800291061401368,0.0007488639685896338,0.005402612686157227,0.0004860889637996557,0.5264105263157894,0.11120000000000001,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.11120000000000001}",0.3814985842352999,0.49091896320118433,0.39833006623344924,0.2990829282084896,0.42998200329103275,0.39996250903389113,0.0627606848371095,46
0.009000205993652343,0.000631659140842399,0.005910158157348633,0.0006589906950567371,0.5264105263157894,0.2223,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.2223}",0.38943296092534163,0.5010885303878903,0.4063781825352002,0.3150811554722671,0.4508206862202154,0.4125603031081829,0.06225171601845658,44
0.009001827239990235,3.956886565346669e-06,0.006504869461059571,0.0007741907542169214,0.5264105263157894,0.33340000000000003,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.33340000000000003}",0.3975757172459833,0.5119181115932765,0.41475032015238955,0.33290592803437336,0.47314811948132396,0.42605963930146934,0.0619771742951287,40
0.009803152084350586,0.0007469581042948401,0.006007766723632813,1.78407206498494e-05,0.5264105263157894,0.4445,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.4445}",0.4058330142625468,0.5233888584399797,0.4234892719346701,0.352981806152615,0.49709861744847506,0.4405583136476574,0.062007335649737684,38
0.009399318695068359,0.0007992891119815183,0.005709314346313476,0.0003977761340613133,0.5264105263157894,0.5556,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.5556}",0.41402629190100915,0.5353641794938944,0.4326479559390657,0.3759019635835068,0.5227770035367297,0.45614347889084117,0.06241881740037036,35
0.010202312469482422,0.0007507927509816538,0.005199623107910156,0.000401522183697364,0.5264105263157894,0.6667000000000001,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.6667000000000001}",0.4218191171872345,0.5473906694710194,0.44226562222582155,0.4025249736300911,0.5501666272111332,0.47283340194505996,0.06327611772134605,33
0.009516191482543946,0.0004496029368729036,0.005601167678833008,0.0004912474667753655,0.5264105263157894,0.7778,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.7778}",0.42859580433976663,0.5580501323380381,0.4522450852249311,0.43413538346092184,0.5788191791730607,0.49036911690734375,0.06455346633474536,31
0.009305047988891601,0.0007518068505539464,0.005401039123535156,0.0004919084248950038,0.5264105263157894,0.8889,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 0.8889}",0.43350355559263865,0.5619418896903878,0.4617157295291203,0.4726298001795367,0.6065137087313985,0.5072609367446164,0.06565813301733096,30
0.011600923538208009,0.002875412483462712,0.006703233718872071,0.002181253439669566,0.5264105263157894,1.0,"{'EL__alpha': 0.5264105263157894, 'EL__l1_ratio': 1.0}",0.4407567260344377,0.502143145074145,0.4625623719929457,0.5187127143111779,0.616756865064942,0.5081863644955297,0.06093140892869386,27
